Time, pos_a, pos_ref, vel_a, vel_ref, accel_a, accel_ref
86,0.027344,0.610002,0.029999,0.349595,0.192383,0.383516
87,0.027344,0.616994,0.029999,0.353790,0.147461,0.388550
88,0.027344,0.623982,0.029999,0.357983,0.071289,0.393581
89,0.027344,0.630967,0.029999,0.362174,0.141602,0.398610
90,0.027344,0.637949,0.029999,0.366363,0.255859,0.403637
91,0.027344,0.644926,0.029999,0.370550,0.255859,0.408661
92,0.027344,0.651900,0.029999,0.374734,0.319336,0.413682
93,0.027344,0.658871,0.029999,0.378916,0.210938,0.418701
94,0.027344,0.665837,0.029999,0.383096,0.320312,0.423717
95,0.027344,0.672800,0.029999,0.387274,0.263672,0.428730
96,0.027344,0.679759,0.029999,0.391449,0.291992,0.433740
97,0.027344,0.686714,0.029999,0.395622,0.296875,0.438748
98,0.027344,0.693665,0.029999,0.399793,0.226562,0.443753
99,0.027344,0.700613,0.029999,0.403961,0.245117,0.448755
100,0.027344,0.707556,0.029999,0.408127,0.314453,0.453754
101,0.027344,0.714495,0.059999,0.412291,0.266602,0.422750
102,0.027344,0.721431,0.059999,0.416452,0.322266,0.427743
103,0.027344,0.728362,0.059999,0.420611,0.337891,0.432734
104,0.027344,0.735289,0.059999,0.424767,0.284180,0.437721
105,0.027344,0.742212,0.059999,0.428921,0.225586,0.442706
106,0.027344,0.749131,0.059999,0.433072,0.376953,0.447687
107,0.027344,0.756045,0.059999,0.437221,0.241211,0.452666
108,0.027344,0.762955,0.059999,0.441367,0.332031,0.457641
109,0.027344,0.769861,0.059999,0.445510,0.376953,0.462613
110,0.027344,0.776763,0.059999,0.449651,0.417969,0.467582
111,0.027344,0.783660,0.059999,0.453790,0.253906,0.472548
112,0.027344,0.790552,0.059999,0.457925,0.345703,0.477511
113,0.027344,0.797440,0.059999,0.462058,0.353516,0.482470
114,0.027344,0.804324,0.059999,0.466188,0.279297,0.487426
115,0.027344,0.811203,0.059999,0.470316,0.274414,0.492379
116,0.027344,0.818078,0.059999,0.474440,0.306641,0.497329
117,0.027344,0.824947,0.059999,0.478562,0.275391,0.502275
118,0.027344,0.831813,0.059999,0.482681,0.412109,0.507218
119,0.027344,0.838673,0.059999,0.486797,0.341797,0.512158
120,0.027344,0.845529,0.059999,0.490911,0.395508,0.517094
121,0.027344,0.852379,0.059999,0.495021,0.382812,0.522026
122,0.027344,0.859226,0.059999,0.499129,0.293945,0.526956
123,0.027344,0.866067,0.059999,0.503234,0.367188,0.531881
124,0.027344,0.872903,0.059999,0.507336,0.373047,0.536803
125,0.027344,0.879734,0.059999,0.511434,0.277344,0.541722
126,0.027344,0.886561,0.059999,0.515530,0.382812,0.546637
127,0.039062,0.893382,0.089998,0.512592,0.319336,0.507112
128,0.039062,0.900198,0.089998,0.516681,0.394531,0.512020
129,0.039062,0.907009,0.089998,0.520768,0.302734,0.516924
130,0.039062,0.913815,0.089998,0.524852,0.309570,0.521824
131,0.039062,0.920616,0.089998,0.528932,0.414062,0.526721
132,0.039062,0.927412,0.089998,0.533010,0.441406,0.531614
133,0.039062,0.934202,0.089998,0.537084,0.366211,0.536503
134,0.039062,0.940987,0.089998,0.541155,0.414062,0.541388
135,0.039062,0.947767,0.089998,0.545223,0.374023,0.546269
136,0.039062,0.954541,0.089998,0.549287,0.333008,0.551147
137,0.039062,0.961310,0.089998,0.553349,0.381836,0.556020
138,0.039062,0.968074,0.089998,0.557407,0.369141,0.560890
139,0.039062,0.974832,0.089998,0.561461,0.365234,0.565756
140,0.039062,0.981584,0.089998,0.565513,0.384766,0.570618
141,0.039062,0.988331,0.089998,0.569561,0.375000,0.575475
142,0.039062,0.995072,0.089998,0.573606,0.325195,0.580329
143,0.039062,1.001808,0.089998,0.577647,0.309570,0.585179
144,0.039062,1.008538,0.089998,0.581685,0.382812,0.590024
145,0.039062,1.015262,0.089998,0.585720,0.378906,0.594866
146,0.039062,1.021981,0.089998,0.589751,0.320312,0.599703
147,0.039062,1.028693,0.089998,0.593779,0.291992,0.604536
148,0.039062,1.035400,0.089998,0.597803,0.366211,0.609365
149,0.039062,1.042101,0.089998,0.601823,0.383789,0.614190
150,0.039062,1.048796,0.089998,0.605840,0.432617,0.619011
151,0.039062,1.055485,0.089998,0.609854,0.380859,0.623827
152,0.058594,1.062169,0.129999,0.602145,0.468750,0.566575
153,0.058594,1.068846,0.129999,0.606151,0.405273,0.571383
154,0.058594,1.075517,0.129999,0.610154,0.493164,0.576186
155,0.058594,1.082182,0.129999,0.614153,0.475586,0.580985
156,0.058594,1.088841,0.129999,0.618148,0.545898,0.585779
157,0.058594,1.095494,0.129999,0.622140,0.414062,0.590569
158,0.058594,1.102140,0.129999,0.626128,0.454102,0.595354
159,0.058594,1.108780,0.129999,0.630112,0.390625,0.600135
160,0.058594,1.115414,0.129999,0.634092,0.475586,0.604912
161,0.058594,1.122042,0.129999,0.638069,0.375977,0.609684
162,0.058594,1.128663,0.129999,0.642042,0.406250,0.614451
163,0.058594,1.135278,0.129999,0.646011,0.460938,0.619214
164,0.058594,1.141886,0.129999,0.649976,0.400391,0.623972
165,0.058594,1.148488,0.129999,0.653937,0.439453,0.628725
166,0.058594,1.155084,0.129999,0.657894,0.631836,0.633474
167,0.058594,1.161673,0.129999,0.661847,0.559570,0.638218
168,0.058594,1.168255,0.129999,0.665797,0.435547,0.642957
169,0.058594,1.174831,0.129999,0.669742,0.478516,0.647692
170,0.058594,1.181400,0.129999,0.673684,0.516602,0.652421
171,0.058594,1.187962,0.129999,0.677621,0.440430,0.657146
172,0.058594,1.194518,0.129999,0.681554,0.458008,0.661866
173,0.058594,1.201066,0.129999,0.685484,0.466797,0.666581
174,0.058594,1.207609,0.129999,0.689409,0.505859,0.671292
175,0.058594,1.214144,0.129999,0.693330,0.439453,0.675997
176,0.058594,1.220672,0.129999,0.697247,0.526367,0.680697
177,0.058594,1.227193,0.129999,0.701160,0.421875,0.685393
178,0.066406,1.233708,0.179998,0.700381,0.514648,0.624459
179,0.066406,1.240215,0.179998,0.704285,0.376953,0.629144
180,0.066406,1.246716,0.179998,0.708186,0.476562,0.633825
181,0.066406,1.253209,0.179998,0.712082,0.458984,0.638500
182,0.066406,1.259695,0.179998,0.715973,0.458008,0.643170
183,0.066406,1.266174,0.179998,0.719861,0.413086,0.647835
184,0.066406,1.272646,0.179998,0.723744,0.448242,0.652495
185,0.066406,1.279111,0.179998,0.727623,0.506836,0.657149
186,0.066406,1.285568,0.179998,0.731497,0.451172,0.661799
187,0.066406,1.292018,0.179998,0.735367,0.558594,0.666443
188,0.066406,1.298461,0.179998,0.739233,0.453125,0.671082
189,0.066406,1.304897,0.179998,0.743094,0.430664,0.675715
190,0.066406,1.311325,0.179998,0.746951,0.531250,0.680343
191,0.066406,1.317745,0.179998,0.750803,0.504883,0.684966
192,0.066406,1.324158,0.179998,0.754651,0.463867,0.689584
193,0.066406,1.330564,0.179998,0.758495,0.463867,0.694196
194,0.066406,1.336962,0.179998,0.762334,0.488281,0.698802
195,0.066406,1.343353,0.179998,0.766168,0.446289,0.703403
196,0.066406,1.349736,0.179998,0.769998,0.579102,0.707999
197,0.066406,1.356111,0.179998,0.773823,0.498047,0.712589
198,0.066406,1.362478,0.179998,0.777643,0.611328,0.717174
199,0.066406,1.368838,0.179998,0.781459,0.358398,0.721753
200,0.066406,1.375190,0.179998,0.785271,0.528320,0.726327
201,0.066406,1.381535,0.179998,0.789077,0.553711,0.730894
202,0.066406,1.387871,0.179998,0.792879,0.520508,0.735457
203,0.097656,1.394200,0.240000,0.777926,0.438477,0.645512
204,0.097656,1.400520,0.240000,0.781719,0.490234,0.650063
205,0.097656,1.406833,0.240000,0.785506,0.541992,0.654608
